,Country,GMI_CNTRY,Year,Total population (millions),Continent,Sub-Continent,Military expenditure (Current USD - $ millions),Military expenditure per capita,Military expenditure (Constant USD 2022 - $ millions),Percentage change in military expenditure,Military expenditure as a share of GDP,Military expendenture as a share of government spending,Total of armed forces personnel,Armed forces personnel (% of total labour force)
4134,Brazil,BRA,2014,203.45965,Americas,South America,32660.23936945255,160.52440554897518,23982.668001211943,1.9996965632659958,1.3302444231680028,3.011769038496196,729500.0,0.732216928
4135,Norway,NOR,2014,5.137232,Europe,Western Europe,7336.785328333601,1428.1592360114553,6035.183730854653,4.333539852255619,1.4622794277646487,3.23330512682439,25800.0,0.947053471
4136,Ukraine,UKR,2014,45.272155,Europe,Eastern Europe,3961.5513786803726,87.50525303424087,4522.901201902367,19.841857361604333,2.9673682585393673,6.627448474646879,204000.0,0.941362615
4137,Croatia,HRV,2014,4.238389,Europe,Central Europe,1076.4249457247915,253.97030469001115,988.46079521783,12.21490895522459,1.8163390941176556,3.7218887464498787,19550.0,1.031112161
4140,Estonia,EST,2014,1.314545,Europe,Central Europe,512.1190451235256,389.5789380534904,550.6447747960738,7.038856418869988,1.9253573857357753,5.098401796328094,5750.0,0.85272226
4141,Ethiopia,ETH,2014,99.746766,Africa,Sub-Saharan Africa,414.4760258300706,4.155282847266152,546.9971387334783,9.084004945799173,0.7684077561909072,4.3950030193236715,138000.0,0.299461997
4142,El Salvador,SLV,2014,6.209526,Americas,Central America and the Caribbean,233.89999999999998,37.667931497508825,263.78049703090403,-2.627149320187272,1.0352548767409342,3.749599230522603,41500.0,1.585627718
4143,Finland,FIN,2014,5.461512,Europe,Western Europe,3985.5083519883165,729.744501520516,3574.4209087434824,-5.135776309025275,1.4519301874845938,2.5350638829347334,25000.0,0.929272339
4144,India,IND,2014,1307.246509,Asia,South Asia,50914.096277082994,38.94758634010855,58055.35988808206,4.872436733333441,2.5439817646225658,9.504791071329159,2749700.0,0.56009666
4145,Guinea-Bissau,GNB,2014,1.743309,Africa,Sub-Saharan Africa,21.47083120865868,12.316136272260787,20.294825777894477,0.4863782697967389,1.893804361100461,8.248636300060609,6450.0,1.154622787
4146,Argentina,ARG,2014,42.6695,Americas,South America,4979.442724458205,116.6979393819521,4970.214734415839,3.4541316485293905,0.8781009242367648,2.260062615577452,105650.0,0.554601298
4147,Australia,AUS,2014,23.475686,Oceania,Oceania,25783.708714004188,1098.3154534442226,23810.954955887253,8.53253788227548,1.7730577784940769,4.8226705220829365,56750.0,0.460626873
4148,Bangladesh,BGD,2014,155.961299,Asia,South Asia,2355.9915247115246,15.106257384477956,3105.92521445033,6.886000203759468,1.1364432719277995,9.673474460197678,220950.0,0.362783279
4149,Bulgaria,BGR,2014,7.223938,Europe,Central Europe,747.5325321364387,103.47992080447516,769.5641758538454,-6.534012273655055,1.3096022317333307,3.531824883020319,47300.0,1.408627711
4150,Egypt,EGY,2014,95.592324,Africa,Middle East,5085.12157627973,53.19591954140303,4794.622234693071,9.16174953384743,1.6896948356807513,4.736533179618582,835500.0,2.725425825
4151,Burundi,BDI,2014,10.494913,Africa,Sub-Saharan Africa,62.17742874014547,5.924530173822829,81.25097327402858,-2.6741002301136185,2.2979455909069513,8.074710954751929,51050.0,1.144437418
4152,United Kingdom,GBR,2014,64.602298,Europe,Western Europe,66995.46865428948,1037.0446675796188,60648.08086200007,-1.7879919529156574,2.184485491854021,5.3010699655184546,154700.0,0.464127254
4153,United States,USA,2014,318.386329,Americas,North America,647789.0,2034.6005496988535,800801.324452956,-6.151214196082677,3.6789181738764505,10.418030994088094,1381250.0,0.865769585
